ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.591441303294777,146.28762592868043,35954.204575300166,6.139982411265068,324.6019065059089,547.4594997187617,2.8493979846484923,53.46245303567359,2.44464812867053,0
9.013238834221431,178.91656490254582,15699.689929474902,7.584120815644918,,360.6765954491832,15.552892145713056,63.56552471018549,4.555436112591789,1
8.812421389421196,190.04759976518244,24127.467460294996,7.6360216166678425,364.69750403394784,504.47375353248054,11.016626178429043,55.410467346288755,3.5332640815667755,1
9.022568033276935,230.9555132698921,27309.144619726227,6.3089653193710555,338.7929340684312,395.16545380856746,13.949950905419888,58.29428313623971,3.8768605286012647,0
6.537663249963242,176.2980630174512,35271.81177807226,8.358295606869547,269.4212946942282,415.08929344999325,11.601953067825647,46.0252006130803,3.6788964864534743,0
4.217665430024779,222.59958664973658,20664.62431769395,4.911005136802637,,337.8056721591299,11.36419126230926,50.68566667203483,3.779591255228383,0
6.168938878192466,196.3466455119048,17284.279568150825,6.733848259850733,355.68788607800246,289.3997134104221,11.746942618822455,80.89228562923255,4.95543235616544,0
6.979631172107739,190.57116901272434,23531.45714266661,7.9982563657215024,,423.64981361931103,12.046162558676166,71.77962210861261,2.9158327986967203,1
6.025155409977888,204.58861158448414,33272.81586472277,6.665617046804487,403.68132546906867,348.95666117821133,16.849341121878183,58.25118854898957,2.7038128005728623,0
6.3574633849628714,183.53095535288148,20521.92724467793,6.793328042581751,393.2370320973116,501.16734522862055,16.178760955282094,49.74588379569722,4.063110414797892,1
6.030993995797557,182.2846745377513,13641.707892670818,6.902298339316197,313.4672747472445,403.4888779235742,10.281556996495016,59.83256894331149,3.5832138154833313,0
7.171675920997265,140.31254369950523,8504.635536690903,5.799750039713362,312.45275098907445,451.13408969114977,10.732558055725201,39.1216331919335,4.250506658648278,1
8.42052079388435,188.24230657891243,11305.664531781385,8.974763471887249,,536.6960809163669,15.534893503793622,68.45141571067451,4.528930246998226,1
7.401232788714692,180.60904799170692,29592.984649261638,5.511500478361953,275.63574839602177,306.18814931200563,17.763782829591577,81.71663800827955,3.107052259879156,0
7.64298625828873,179.4242254504153,19202.764591741878,7.622691737307619,253.61493382415244,367.65091500518525,17.712937901315755,104.74495709295618,4.440643297746555,0
,210.11512375921234,16687.256661815212,7.77356367928615,314.8643955751131,440.8153968649207,10.960371737017432,48.527208694461294,3.172884080202785,0
9.090993868351184,218.06899124680777,15736.399387123194,5.621177396089832,,451.4520051185194,17.554620839589745,81.04159962439986,4.028168648931737,0
5.511700940073424,204.0391992027326,22759.682102235194,7.235504721921575,336.8487608068352,515.3625981028039,8.400547510404607,54.94317457969442,3.0052072955968323,0
4.497697024033615,229.14915976578772,19914.457737863362,5.6827811670633706,308.69479754012,496.2659728264803,13.60845257969677,48.119008101173605,4.073072130609236,0
7.6754371334704325,215.33598735981903,19619.177363869596,9.317847110588394,383.67568516015547,434.0322369590437,15.89205752503464,48.11185031253318,3.9537157208809175,0
6.076127425655505,186.6926513553944,33844.87219904456,5.320722959577584,292.67184899588904,450.71509738425823,7.399155406832134,68.67991876811686,3.109714998887207,1
7.580853438504247,181.1720281999969,35499.326759362804,6.086842591113497,,452.9509319920316,21.20735641872288,51.32114329616904,2.9104391537487597,0
3.2481669242501567,206.69185158962927,7897.329971933919,5.185724486798183,352.41944745894904,307.44724093436054,18.671361055652596,56.56909850504555,4.555498095595651,0
9.284004946958078,215.27693791577255,24886.333066661453,4.974836011549268,,413.5648614297191,16.421583148513548,59.26549844205636,3.6166596469108625,0
8.13894651878424,242.3890777013363,15202.473119287633,9.634120159594024,,446.27663601416504,11.08575663296011,54.412520993637656,4.75938415054123,0
,235.58959317852916,19837.334233665933,7.977583984781848,356.19951074015285,463.2509093898366,14.05457700264969,53.236130246273845,3.5461528907367557,1
,178.58553808591415,24725.752880790857,7.34166361260686,,351.51143404281595,16.8962907619156,27.047611847200706,4.985700193782984,0
,193.0439933838131,20148.871768349698,6.082608397911864,327.81654821154876,323.6811286676656,10.563990213230616,67.80864329981229,3.2302561471094924,0
5.897565953438246,218.47648578179462,24034.672233343088,8.554026661453895,305.3156945815871,407.2497665245391,13.682630294602163,67.49627813084693,5.118742314858743,0
5.743646090515128,231.53712689814017,27914.602766487853,5.817728545799424,298.89195097610224,585.1631817761927,17.29337054287435,53.483013434284715,4.1060100531852886,0
3.4669771703026404,227.29209552038768,24596.849387137525,8.373950085041564,249.63847596360588,360.00480097152354,9.332890544131203,,4.281841457799595,0
